,author,commit_count,lines,value,added_lines_py,deleted_lines_py,added_functions,added_classes,added_comment,added_code_lines,deleted_code_lines,var_names_style_stat,fun_names_style_stat,class_names_style_stat,dmm_score,var_names_style_stat_deduced,fun_names_style_stat_deduced,class_names_style_stat_deduced,var_names_style_freq,fun_names_style_freq,class_names_style_freq,scores,comment_to_code_ratio,pure_comment_lines,inline_comments,commented_code_ratio,inline_commented_ratio,fun_per_100_LOC
31,Martin Suchanek,2,0.0,1.85,18,3,0,0,0,18,3.0,"[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5333333333333333,"[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.533333333333333,0.0,0,0,0.0,,0.0
32,Matt Boyd,1,0.0,16.720000000000002,167,2,0,0,0,167,2.0,"[0, 0, 0, 0, 8, 0, 25, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.4929577464788732,"[0, 0, 0, 0, 33, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.492957746478873,0.0,0,0,0.0,,0.0
44,Rajagopal Parthasarathi,1,0.0,8.110000000000001,80,11,2,0,1,79,11.0,"[2, 0, 0, 0, 13, 0, 8, 0]","[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.2941176470588236,"[2, 0, 0, 0, 21, 0, 0, 0]","[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.08695652173913043, 0.0, 0.0, 0.0, 0.9130434782608695, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.2941176470588234,0.012658227848101266,1,0,0.0,0.0,2.5316455696202533
4,Assaf Mentzer,1,0.0,134.59,1345,3,0,0,35,1338,3.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.2313883299798791,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.231388329979879,0.026158445440956652,7,28,0.02092675635276532,0.8,0.0
24,Karik Isichei,1,0.0,11.75,117,5,3,0,0,117,5.0,"[0, 0, 0, 0, 8, 0, 4, 0]","[0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0699999999999998,"[0, 0, 0, 0, 12, 0, 0, 0]","[0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.07,0.0,0,0,0.0,,2.564102564102564
15,Flavio Altinier Maximiano da Silva,1,0.0,9.65,96,5,3,0,2,96,5.0,"[0, 0, 0, 0, 14, 0, 10, 0]","[0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0606060606060606,"[0, 0, 0, 0, 24, 0, 0, 0]","[0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0606060606060606,0.020833333333333332,0,2,0.020833333333333332,1.0,3.125
2,Alexander Romanov,1,0.0,0.2,2,0,0,0,0,2,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0,0.0,0,0,0.0,,0.0
80,vlieven,1,0.0,0.21,2,1,0,0,0,2,1.0,"[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,"[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0,0.0,0,0,0.0,,0.0
17,Israel Zalmanov,1,0.0,1.91,19,1,1,0,0,19,1.0,"[0, 0, 0, 0, 0, 0, 8, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,"[0, 0, 0, 0, 8, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0,0.0,0,0,0.0,,5.263157894736842
26,Luigi Franco Tedesco,2,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0,,0,0,,,0.0
