,hash,author,author_date,insertions,deletions,lines,value,added_lines_py,deleted_lines_py,added_functions,added_classes,added_comment,added_code_lines,deleted_code_lines,var_names_style_stat,fun_names_style_stat,class_names_style_stat,dmm_score
17,9e908db33e67e15c72c7a338f4747f0e6849066c,HelgeCPH,2021-04-21 22:11:39+02:00,,,4,0.22,2,2,0,0,0,2,2.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
18,4a11d32805307b9a6d6553ab80dddda0d4d5c8b9,HelgeCPH,2021-04-22 11:51:19+02:00,,,44,0.62,2,42,0,0,0,2,7.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",3.0
19,929d7421423652370bf424b26fabbaa88e161290,Davide Spadini,2021-04-22 11:02:06+01:00,,,4,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
20,c6e170b86630ff286f227fd45c6a3d9ed236d715,Davide Spadini,2021-04-22 11:03:54+01:00,,,309,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
21,6e98ec3affd8faa37ce6e3c6d76b203f6164ce80,Davide Spadini,2021-05-07 17:04:08+01:00,,,46,2.5300000000000002,23,23,0,0,0,23,23.0,"[0, 0, 0, 0, 4, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
22,8b5eef186725bf24d777f8a04b0581d2af9440bd,Davide Spadini,2021-05-07 17:23:44+01:00,,,58,2.3800000000000003,20,38,0,0,1,20,38.0,"[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
23,ad4237c32463cbb4cc211eb35fd8e2489192557b,Davide Spadini,2021-05-07 17:26:08+01:00,,,6,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
24,577432d570a5655bce4e10ed8ff0543cb14b2aa8,Davide Spadini,2021-05-07 17:37:16+01:00,,,42,2.13,19,23,0,0,0,19,23.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0
25,db9621c622ed0997ee914034329870c030420e48,Davide Spadini,2021-05-10 10:37:47+01:00,,,221,11.330000000000002,102,113,1,0,1,102,113.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.2727272727272727
26,ffa3dfd4fd6e2d6e0a0b9aec3290ba9939b4af6e,Davide Spadini,2021-05-10 11:02:50+01:00,,,1306,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
27,ccc155e77ef2d555a3e6bcc1f90e52faf688ee64,Stefano Dalla Palma,2021-05-10 20:09:28+02:00,,,122,0.53,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
28,c523b93a805ad4f6429b9b1baf74887102d95eba,stefanodallapalma,2021-05-11 11:34:49+02:00,,,38,3.7100000000000004,37,1,0,0,0,37,1.0,"[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.380952380952381
29,09f05dc99d26deff123dc11a2d3ec7d1332475dc,Davide Spadini,2021-05-11 10:53:54+01:00,,,122,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
30,26b1c483d66d251d9e424d52184a6f001f44eb9b,Davide Spadini,2021-05-11 11:17:09+01:00,,,12,0.02,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
31,5e87ed978c8a470bfcb7a01cabf192c43442a4e6,Davide Spadini,2021-05-11 11:23:57+01:00,,,12,0.06,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
32,4622c1a2f451ee4b1b81d3ae050196221a90d1e0,stefanodallapalma,2021-05-11 12:37:32+02:00,,,2,0.02,0,2,0,0,0,0,2.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
33,952c1c51ae6b7f1f6e3aae7054ddab7fc2e8af7e,Davide Spadini,2021-05-11 11:48:08+01:00,,,36,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
34,cb61eadf1cd5531b8e9089277b72497019e001cf,Davide Spadini,2021-05-11 12:40:26+01:00,,,2,0.11,1,1,0,0,0,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
35,8662d62998f7b119a8cf74b38135dd2b062a1953,Davide Spadini,2021-05-12 09:49:06+01:00,,,2,0.01,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
36,0e6c225cf5b71fdf9d3757efbae7511767feee5d,Davide Spadini,2021-05-17 10:07:14+01:00,,,2,0.01,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
37,3a2efb7a92948863d85e05d5dda3d39a87af69fc,Gregor Lato,2021-05-17 20:36:17+02:00,,,37,2.9800000000000004,29,8,1,0,0,29,8.0,"[0, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.7142857142857144
38,7aa7afc221012d4b317e7766497697fd269a17a6,Gregor Lato,2021-05-17 20:45:59+02:00,,,12,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
39,ed253569186e85ea3f6e4c899602f519015a745b,Gregor Lato,2021-05-18 17:43:12+02:00,,,12,0.66,6,6,0,0,0,6,6.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
40,f6137051e47b6ea83ef765edd3bf51abe9c3b77a,Davide Spadini,2021-05-19 16:01:56+01:00,,,47,0.0,0,0,0,0,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
41,c61ec5f39dd9d33a5d4b8cc0b99d150c43d6d22e,Stefano Dalla Palma,2021-06-01 12:40:19+02:00,,,1,0.1,1,0,0,0,0,1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
42,33c1e820df869618c83ebf6711300a5acf49dc98,HelgeCPH,2021-06-01 13:36:52+02:00,,,31,3.0100000000000002,30,1,1,0,2,28,1.0,"[0, 0, 0, 0, 4, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.625
43,4b6e51441529d42be68429a567a1a4bd409d5ce1,HelgeCPH,2021-06-01 13:42:11+02:00,,,2,0.11,1,1,0,0,1,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
