,author,commit_count,lines,value,added_lines_py,deleted_lines_py,added_functions,added_classes,added_comment,added_code_lines,deleted_code_lines,var_names_style_stat,fun_names_style_stat,class_names_style_stat,dmm_score,var_names_style_stat_deduced,fun_names_style_stat_deduced,class_names_style_stat_deduced,var_names_style_freq,fun_names_style_freq,class_names_style_freq,scores,comment_to_code_ratio,pure_comment_lines,inline_comments,commented_code_ratio,inline_commented_ratio,fun_per_100_LOC
70,igorborgest,479,0.0,4418.530000000001,40857,32458,421,30,1211,40318,32128.0,"[206, 0, 0, 7, 654, 0, 1903, 0]","[0, 0, 0, 0, 389, 0, 32, 0]","[0, 0, 30, 0, 0, 0, 0, 0]",362.7176885701609,"[206, 0, 0, 7, 2557, 0, 0, 0]","[0, 0, 0, 0, 421, 0, 0, 0]","[0, 0, 30, 0, 0, 0, 0, 0]","[0.07436823104693141, 0.0, 0.0, 0.002527075812274368, 0.9231046931407942, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",841.7176885701608,0.030036212113696115,539,672,0.016667493427253335,0.5549132947976878,1.0441986209633416
16,Igor Tavares,358,0.0,1824.39,17160,10368,179,7,308,17103,10335.0,"[46, 0, 1, 1, 138, 0, 411, 0]","[0, 0, 0, 0, 167, 0, 12, 0]","[0, 0, 7, 0, 0, 0, 0, 0]",160.74810138683176,"[46, 0, 1, 1, 549, 0, 0, 0]","[0, 0, 0, 0, 179, 0, 0, 0]","[0, 0, 7, 0, 0, 0, 0, 0]","[0.07705192629815745, 0.0, 0.0016750418760469012, 0.0016750418760469012, 0.9195979899497487, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",518.7481013868318,0.01800853651406186,57,251,0.01467578787347249,0.814935064935065,1.046600011693855
71,jaidisido,44,0.0,325.90000000000003,3190,498,12,2,124,3148,488.0,"[2, 0, 0, 0, 48, 0, 59, 0]","[0, 0, 0, 0, 12, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]",34.61357701673223,"[2, 0, 0, 0, 107, 0, 0, 0]","[0, 0, 0, 0, 12, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]","[0.01834862385321101, 0.0, 0.0, 0.0, 0.981651376146789, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",78.61357701673222,0.03939008894536213,42,82,0.026048284625158832,0.6612903225806451,0.3811944091486658
73,kukushking,39,0.0,221.46000000000004,2177,251,28,0,46,2159,249.0,"[9, 0, 0, 0, 64, 0, 62, 0]","[0, 0, 0, 0, 27, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",22.825043940635357,"[9, 0, 0, 0, 126, 0, 0, 0]","[0, 0, 0, 0, 28, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.06666666666666667, 0.0, 0.0, 0.0, 0.9333333333333333, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",61.825043940635354,0.021306160259379342,18,28,0.012968967114404817,0.6086956521739131,1.2968967114404817
34,Maximilian,30,0.0,411.52,3978,1352,45,2,50,3945,1336.0,"[23, 0, 0, 3, 156, 0, 129, 0]","[0, 0, 0, 0, 44, 0, 1, 0]","[0, 0, 2, 0, 0, 0, 0, 0]",26.913703631963777,"[23, 0, 0, 3, 285, 0, 0, 0]","[0, 0, 0, 0, 45, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]","[0.07395498392282958, 0.0, 0.0, 0.00964630225080386, 0.9163987138263665, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",56.91370363196378,0.012674271229404309,33,17,0.004309252217997465,0.34,1.1406844106463878
6,Bryan,22,0.0,51.49,511,39,18,0,3,509,39.0,"[2, 0, 0, 0, 27, 0, 53, 0]","[0, 0, 0, 0, 18, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",30.586335403726707,"[2, 0, 0, 0, 80, 0, 0, 0]","[0, 0, 0, 0, 18, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.024390243902439025, 0.0, 0.0, 0.0, 0.975609756097561, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",52.58633540372671,0.005893909626719057,2,1,0.0019646365422396855,0.3333333333333333,3.536345776031434
27,Luigi Tedesco,22,0.0,129.08,1236,472,11,9,90,1172,287.0,"[6, 0, 0, 0, 13, 0, 57, 0]","[0, 0, 0, 0, 10, 0, 1, 0]","[0, 0, 9, 0, 0, 0, 0, 0]",27.168845646312757,"[6, 0, 0, 0, 70, 0, 0, 0]","[0, 0, 0, 0, 11, 0, 0, 0]","[0, 0, 9, 0, 0, 0, 0, 0]","[0.07894736842105263, 0.0, 0.0, 0.0, 0.9210526315789473, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",49.16884564631276,0.07679180887372014,64,26,0.02218430034129693,0.28888888888888886,0.938566552901024
