author,commit_count,lines,value,added_lines_py,deleted_lines_py,added_functions,added_classes,added_comment,added_code_lines,deleted_code_lines,var_names_style_stat,fun_names_style_stat,class_names_style_stat,dmm_score
Abhavya Chandra,2,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Abhishek,1,0.0,0.11,1,1,0,0,0,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Adrian Seyboldt,18,0.0,216.88,2069,984,5,4,50,2032,968.0,"[14, 0, 0, 0, 51, 0, 103, 6]","[0, 0, 0, 0, 5, 0, 0, 0]","[0, 0, 4, 0, 0, 0, 0, 0]",14.758994378464998
Ahan M R,3,0.0,9.07,89,7,0,1,0,89,7.0,"[2, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",3.0
Alessio Andronico,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
AlexAndorra,5,0.0,15.21,133,191,0,3,6,129,155.0,"[3, 0, 0, 0, 19, 0, 17, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 1]",3.611111111111111
Alexandre ANDORRA,22,0.0,159.79,1487,1066,4,3,26,1463,1053.0,"[16, 0, 0, 0, 28, 0, 21, 0]","[0, 0, 1, 0, 3, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]",16.096758049576266
Ali Akbar S,2,0.0,102.44,931,934,0,0,5,930,933.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.4817073170731707
Alihan Zihna,2,0.0,7.16,71,6,3,0,0,71,3.0,"[3, 0, 0, 0, 0, 0, 9, 0]","[0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",4.0
Amarjit,2,0.0,4.740000000000001,42,54,0,0,1,42,54.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Amit Kushwaha,7,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Anatoly,1,0.0,21.400000000000002,207,70,3,1,4,205,64.0,"[27, 0, 2, 1, 13, 0, 33, 1]","[0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",1.7126436781609196
Andrew Wray,1,0.0,12.13,121,2,0,1,15,106,2.0,"[1, 0, 0, 0, 7, 0, 17, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",2.0476190476190474
Ari Hartikainen,2,0.0,1.84,17,14,0,0,0,17,14.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0
Arie Pratama Sutiono,1,0.0,1.9500000000000002,2,175,0,0,0,2,175.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.4015151515151514
Ashish,1,0.0,2.5300000000000002,23,23,0,0,0,23,23.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Austin Rochford,1,0.0,0.33,3,3,0,0,0,3,3.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Ayush Gupta,2,0.0,0.33,3,3,0,0,0,3,3.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Bas Nijholt,4,0.0,3.1300000000000003,31,3,0,0,1,30,3.0,"[4, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",4.3478260869565215
Bill Engels,5,0.0,56.61,532,333,2,3,8,525,323.0,"[13, 0, 3, 1, 9, 0, 19, 0]","[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]",2.967741935483871
Brandon T. Willard,169,0.0,1277.96,11466,13131,52,5,1387,10146,12224.0,"[190, 1, 6, 1, 401, 0, 354, 12]","[0, 0, 0, 0, 50, 0, 1, 1]","[0, 0, 5, 0, 0, 0, 0, 0]",174.92542891506355
Chandan Kumar Roy,3,0.0,131.60000000000002,1235,808,1,2,8,1230,806.0,"[3, 2, 0, 0, 4, 0, 17, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]",4.931428571428571
Chris Fonnesbeck,15,0.0,34.830000000000005,196,1522,0,0,1,195,1424.0,"[0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",7.890922857976937
Christian Clauss,4,0.0,0.32,3,2,0,0,0,3,2.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
