,author,commit_count,lines,value,added_lines_py,deleted_lines_py,added_functions,added_classes,added_comment,added_code_lines,deleted_code_lines,var_names_style_stat,fun_names_style_stat,class_names_style_stat,dmm_score,var_names_style_stat_deduced,fun_names_style_stat_deduced,class_names_style_stat_deduced,var_names_style_freq,fun_names_style_freq,class_names_style_freq,scores,comment_to_code_ratio,pure_comment_lines,inline_comments,commented_code_ratio,inline_commented_ratio,fun_per_100_LOC
20,Brandon T. Willard,169,0.0,1277.96,11466,13131,52,5,1387,10146,12224.0,"[190, 1, 6, 1, 401, 0, 354, 12]","[0, 0, 0, 0, 50, 0, 1, 1]","[0, 0, 5, 0, 0, 0, 0, 0]",174.92542891506355,"[190, 1, 6, 1, 755, 0, 0, 12]","[0, 0, 0, 0, 51, 0, 0, 1]","[0, 0, 5, 0, 0, 0, 0, 0]","[0.19689119170984457, 0.0010362694300518134, 0.0062176165803108805, 0.0010362694300518134, 0.7823834196891192, 0.0, 0.012435233160621761]","[0.0, 0.0, 0.0, 0.0, 0.9807692307692307, 0.0, 0.019230769230769232]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",343.92542891506355,0.13670411985018727,1320,67,0.006603587620737236,0.04830569574621485,0.5125172481766214
69,Michael Osthege,110,0.0,430.23,4077,2047,8,11,260,3821,1930.0,"[57, 1, 11, 2, 131, 0, 330, 3]","[0, 0, 0, 0, 8, 0, 0, 0]","[0, 0, 11, 0, 0, 0, 0, 0]",95.38496916702788,"[57, 1, 11, 2, 461, 0, 0, 3]","[0, 0, 0, 0, 8, 0, 0, 0]","[0, 0, 11, 0, 0, 0, 0, 0]","[0.10654205607476636, 0.001869158878504673, 0.020560747663551402, 0.003738317757009346, 0.8616822429906542, 0.0, 0.005607476635514018]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",205.38496916702786,0.06804501439413765,256,4,0.0010468463752944255,0.015384615384615385,0.20936927505888508
87,Ricardo,90,0.0,358.64000000000004,3319,2662,32,12,131,3200,2510.0,"[64, 1, 0, 2, 204, 0, 196, 1]","[0, 0, 0, 0, 30, 0, 1, 1]","[0, 0, 10, 2, 0, 0, 0, 0]",91.6306596078281,"[64, 1, 0, 2, 400, 0, 0, 1]","[0, 0, 0, 0, 31, 0, 0, 1]","[0, 0, 10, 2, 0, 0, 0, 0]","[0.13675213675213677, 0.002136752136752137, 0.0, 0.004273504273504274, 0.8547008547008547, 0.0, 0.002136752136752137]","[0.0, 0.0, 0.0, 0.0, 0.96875, 0.0, 0.03125]","[0.0, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0]",181.63065960782808,0.0409375,119,12,0.00375,0.0916030534351145,1.0
126,ricardoV94,31,0.0,278.65000000000003,2654,1278,10,7,103,2567,1200.0,"[82, 0, 0, 1, 154, 0, 165, 0]","[0, 0, 0, 0, 10, 0, 0, 0]","[0, 0, 7, 0, 0, 0, 0, 0]",54.52496149665654,"[82, 0, 0, 1, 319, 0, 0, 0]","[0, 0, 0, 0, 10, 0, 0, 0]","[0, 0, 7, 0, 0, 0, 0, 0]","[0.20398009950248755, 0.0, 0.0, 0.0024875621890547263, 0.7935323383084577, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",85.52496149665654,0.04012465913517725,87,16,0.0062329567588624854,0.1553398058252427,0.38955979742890534
92,Robert P. Goldman,36,0.0,191.11,1830,810,5,2,350,1520,596.0,"[16, 0, 2, 0, 16, 0, 115, 0]","[0, 0, 0, 0, 3, 0, 0, 2]","[0, 0, 2, 0, 0, 0, 0, 0]",36.84691949815621,"[16, 0, 2, 0, 131, 0, 0, 0]","[0, 0, 0, 0, 3, 0, 0, 2]","[0, 0, 2, 0, 0, 0, 0, 0]","[0.10738255033557047, 0.0, 0.013422818791946308, 0.0, 0.8791946308724832, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6, 0.0, 0.4]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",72.84691949815621,0.23026315789473684,310,40,0.02631578947368421,0.11428571428571428,0.3289473684210526
78,Osvaldo Martin,28,0.0,364.31,3437,2032,10,3,111,3333,2000.0,"[63, 0, 0, 1, 108, 0, 92, 9]","[0, 0, 0, 0, 8, 0, 2, 0]","[0, 0, 2, 1, 0, 0, 0, 0]",27.47670181259821,"[63, 0, 0, 1, 200, 0, 0, 9]","[0, 0, 0, 0, 10, 0, 0, 0]","[0, 0, 2, 1, 0, 0, 0, 0]","[0.23076923076923078, 0.0, 0.0, 0.003663003663003663, 0.7326007326007326, 0.0, 0.03296703296703297]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0]",55.47670181259821,0.0333033303330333,104,7,0.0021002100210021,0.06306306306306306,0.3000300030003
105,Thomas Wiecki,45,0.0,157.03,1389,1487,11,3,64,1332,1405.0,"[5, 0, 9, 0, 28, 0, 13, 0]","[0, 0, 0, 0, 11, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]",9.885016933065856,"[5, 0, 9, 0, 41, 0, 0, 0]","[0, 0, 0, 0, 11, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]","[0.09090909090909091, 0.0, 0.16363636363636364, 0.0, 0.7454545454545455, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",54.885016933065856,0.04804804804804805,57,7,0.005255255255255256,0.109375,0.8258258258258258
34,Eelke Spaak,23,0.0,112.78,1012,1136,8,1,82,936,1125.0,"[13, 1, 0, 0, 47, 0, 62, 0]","[0, 0, 0, 0, 8, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",25.212837467635573,"[13, 1, 0, 0, 109, 0, 0, 0]","[0, 0, 0, 0, 8, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]","[0.10569105691056911, 0.008130081300813009, 0.0, 0.0, 0.8861788617886179, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",48.21283746763557,0.0876068376068376,76,6,0.00641025641025641,0.07317073170731707,0.8547008547008548
6,Alexandre ANDORRA,22,0.0,159.79,1487,1066,4,3,26,1463,1053.0,"[16, 0, 0, 0, 28, 0, 21, 0]","[0, 0, 1, 0, 3, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]",16.096758049576266,"[16, 0, 0, 0, 49, 0, 0, 0]","[0, 0, 1, 0, 3, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]","[0.24615384615384617, 0.0, 0.0, 0.0, 0.7538461538461538, 0.0, 0.0]","[0.0, 0.0, 0.25, 0.0, 0.75, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",38.096758049576266,0.0177717019822283,24,2,0.001367053998632946,0.07692307692307693,0.2734107997265892
121,michaelosthege,15,0.0,93.35,915,177,1,3,32,883,174.0,"[16, 0, 0, 0, 21, 0, 61, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]",22.213377459091745,"[16, 0, 0, 0, 82, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0]","[0.16326530612244897, 0.0, 0.0, 0.0, 0.8367346938775511, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",37.213377459091745,0.0362400906002265,32,0,0.0,0.0,0.11325028312570783
