author,commit_count,lines,value,added_lines_py,deleted_lines_py,added_functions,added_classes,added_comment,added_code_lines,deleted_code_lines,var_names_style_stat,fun_names_style_stat,class_names_style_stat,dmm_score
Abdel Jaidi,46,0.0,16.720000000000002,153,98,0,0,9,153,98.0,"[0, 0, 0, 0, 0, 0, 5, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",11.166666666666668
Alex Papanicolaou,1,0.0,0.0,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Alexander Romanov,1,0.0,0.2,2,0,0,0,0,2,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0
André Perez,1,0.0,0.02,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Assaf Mentzer,1,0.0,134.59,1345,3,0,0,35,1338,3.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.2313883299798793
Brian Schroeder,3,0.0,2.3600000000000003,23,6,0,0,0,23,6.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.5
Bryan,22,0.0,51.49,511,39,18,0,3,509,39.0,"[2, 0, 0, 0, 27, 0, 53, 0]","[0, 0, 0, 0, 18, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",30.586335403726707
Bryan Yang,5,0.0,46.28,461,17,9,0,3,460,17.0,"[1, 0, 0, 1, 19, 0, 21, 0]","[0, 0, 0, 0, 9, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",3.8215408805031448
Christian Franco,1,0.0,0.01,0,0,0,0,0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0
Constantino Schillebeeckx,2,0.0,3.1200000000000006,31,2,3,0,0,31,2.0,"[0, 0, 0, 0, 0, 0, 4, 0]","[0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",2.8421052631578947
